2446,-7782,9803
-263,-7934,10077
-2352,-8029,9155
-4549,-7802,8114
-7261,-7061,7630
-9999,-5967,7351
-12104,-4823,6993
-13205,-3894,6142
-13349,-3241,4844
-12551,-2862,3321
-10816,-2700,1505
6970,-4355,37
7235,-4203,2641
7477,-4114,4876
7753,-4278,6711
8113,-4872,8381
7687,-5651,9948
5632,-5937,11120
2272,-5353,10462
-1426,-3566,8568
-4485,-578,6781
-6421,2490,5293
-7069,4400,3829
-6987,4963,1575
-6507,5017,-660
-6118,5305,-2557
-6269,6763,-4397
-6703,8807,-6017
-7033,10323,-7079
-7624,11324,-7529
-8652,11966,-6992
-10125,12092,-5781
-11923,11557,-3976
-13786,10359,-1210
-14969,8794,2506
-15251,6975,6553
-14489,4371,9748
-13281,1516,12041
-11638,-1664,13401
-8582,-5657,13403
-3776,-9996,11782
2006,-13694,8958
7030,-14925,6130
10578,-13907,3049
